movie_id,movie_name,year,rating,votes,genre
tt0097455,Grandmother's House,1988,5.1,2105.0,horror
tt0097455,Grandmother's House,1988,5.1,2105.0,thriller
tt0097457,Great Balls of Fire!,1989,6.3,18352.0,biography
tt0097474,Halloween 5: The Revenge of Michael Myers,1989,4.9,43960.0,horror
tt0097474,Halloween 5: The Revenge of Michael Myers,1989,4.9,43960.0,thriller
tt0097478,Happy Together,1989,5.9,2058.0,romance
tt0097481,Harlem Nights,1989,6.0,23419.0,crime
tt0097493,Heathers,1988,7.2,107207.0,crime
tt0097498,Hellgate,1989,3.6,1691.0,horror
tt0097499,Henry V,1989,7.5,30487.0,biography
tt0097499,Henry V,1989,7.5,30487.0,history
tt0097499,Henry V,1989,7.5,30487.0,war
tt0097500,Her Alibi,1989,5.8,7416.0,crime
tt0097500,Her Alibi,1989,5.8,7416.0,mystery
tt0097500,Her Alibi,1989,5.8,7416.0,romance
tt0097503,Hider in the House,1989,5.9,1726.0,thriller
tt0097521,Homer and Eddie,1989,5.3,1930.0,crime
tt0097523,"Honey, I Shrunk the Kids",1989,6.4,158043.0,adventure
tt0097523,"Honey, I Shrunk the Kids",1989,6.4,158043.0,family
tt0097523,"Honey, I Shrunk the Kids",1989,6.4,158043.0,scifi
tt0097527,The Horror Show,1989,5.1,4260.0,horror
tt0097530,How I Got Into College,1989,5.7,2299.0,romance
tt0097531,How to Get Ahead in Advertising,1989,6.8,6208.0,fantasy
tt0097534,Howling V: The Rebirth,1989,4.4,2718.0,horror
tt0097539,In the Line of Duty IV,1989,7.1,1499.0,action
tt0097539,In the Line of Duty IV,1989,7.1,1499.0,crime
tt0097550,I Bought a Vampire Motorcycle,1990,5.5,1373.0,crime
tt0097550,I Bought a Vampire Motorcycle,1990,5.5,1373.0,fantasy
tt0097550,I Bought a Vampire Motorcycle,1990,5.5,1373.0,horror
tt0097557,"I, Madman",1989,5.9,3457.0,fantasy
tt0097557,"I, Madman",1989,5.9,3457.0,horror
tt0097561,The Needle,1988,7.0,2654.0,thriller
tt0097570,In Country,1989,5.9,3011.0,romance
tt0097570,In Country,1989,5.9,3011.0,war
tt0097573,In the Cold of the Night,1990,4.6,1703.0,mystery
tt0097573,In the Cold of the Night,1990,4.6,1703.0,thriller
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,761587.0,action
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,761587.0,adventure
tt0097579,An Innocent Man,1989,6.4,7181.0,action
tt0097579,An Innocent Man,1989,6.4,7181.0,crime
tt0097579,An Innocent Man,1989,6.4,7181.0,thriller
tt0097584,Intergirl,1989,7.0,1342.0,romance
tt0097613,The January Man,1989,5.5,8761.0,action
tt0097613,The January Man,1989,5.5,8761.0,crime
tt0097613,The January Man,1989,5.5,8761.0,mystery
tt0097613,The January Man,1989,5.5,8761.0,thriller
tt0097626,Johnny Handsome,1989,6.1,10306.0,crime
tt0097626,Johnny Handsome,1989,6.1,10306.0,thriller
tt0097630,Journey to the Center of the Earth,1988,2.6,1327.0,adventure
tt0097630,Journey to the Center of the Earth,1988,2.6,1327.0,scifi
tt0097635,Jesus of Montreal,1989,7.5,7345.0,romance
tt0097636,Jönssonligan på Mallorca,1989,5.9,3777.0,crime
tt0097637,K-9,1989,6.0,34346.0,action
tt0097637,K-9,1989,6.0,34346.0,crime
tt0097647,The Karate Kid Part III,1989,5.3,65358.0,action
tt0097647,The Karate Kid Part III,1989,5.3,65358.0,family
tt0097647,The Karate Kid Part III,1989,5.3,65358.0,sports
tt0097659,Kickboxer,1989,6.4,57066.0,action
tt0097659,Kickboxer,1989,6.4,57066.0,sports
tt0097659,Kickboxer,1989,6.4,57066.0,thriller
tt0097662,Kill Me Again,1989,6.3,5249.0,action
tt0097662,Kill Me Again,1989,6.3,5249.0,crime
tt0097662,Kill Me Again,1989,6.3,5249.0,thriller
tt0097670,Kinjite: Forbidden Subjects,1989,5.5,3504.0,action
tt0097670,Kinjite: Forbidden Subjects,1989,5.5,3504.0,crime
tt0097670,Kinjite: Forbidden Subjects,1989,5.5,3504.0,thriller
tt0097694,Black Rain,1989,7.9,3628.0,war
tt0097702,The Icicle Thief,1989,7.0,1034.0,crime
tt0097702,The Icicle Thief,1989,7.0,1034.0,fantasy
tt0097731,Let It Ride,1989,6.8,6499.0,action
tt0097733,Lethal Weapon 2,1989,7.2,179571.0,action
tt0097733,Lethal Weapon 2,1989,7.2,179571.0,crime
tt0097733,Lethal Weapon 2,1989,7.2,179571.0,thriller
tt0097737,Leviathan,1989,5.8,21552.0,adventure
tt0097737,Leviathan,1989,5.8,21552.0,horror
tt0097737,Leviathan,1989,5.8,21552.0,mystery
tt0097737,Leviathan,1989,5.8,21552.0,scifi
tt0097737,Leviathan,1989,5.8,21552.0,thriller
tt0097742,Licence to Kill,1989,6.6,106862.0,action
tt0097742,Licence to Kill,1989,6.6,106862.0,adventure
