year,genre,avgRating,movieCount,rollingRating
1911,adventure,7.0,1,7.0
1911,fantasy,7.0,1,7.0
1911,horror,7.0,1,7.0
1913,crime,6.900000000000001,3,6.900000000000001
1913,fantasy,6.4,1,6.7
1913,horror,6.4,1,6.7
1913,mystery,6.9,1,6.9
1913,romance,6.4,1,6.4
1914,action,6.4,1,6.4
1914,adventure,6.75,2,6.875
1914,crime,6.633333333333333,3,6.7666666666666675
1914,fantasy,6.1,1,6.5
1914,history,7.1,1,7.1
1914,horror,6.550000000000001,2,6.650000000000001
1914,war,7.1,1,7.1
1915,action,7.3,1,6.85
1915,adventure,7.3,1,7.016666666666667
1915,biography,6.8,1,6.8
1915,crime,7.05,2,6.861111111111112
1915,mystery,7.3,1,7.1
1915,romance,6.65,2,6.525
1915,thriller,7.3,1,7.3
1915,war,6.2,1,6.65
1916,action,6.1,1,6.6000000000000005
1916,adventure,6.65,2,6.925
1916,crime,7.2,1,6.945833333333334
1916,history,7.7,1,7.4
1916,romance,6.7,1,6.583333333333333
1916,scifi,6.1,1,6.1
1917,family,6.7,1,6.7
1917,fantasy,6.7,1,6.55
1917,romance,6.7,1,6.612500000000001
1917,war,7.3,1,6.866666666666667
1918,romance,6.8,1,6.65
1918,war,6.6,1,6.8
1919,adventure,6.75,2,6.890000000000001
1919,crime,7.0,1,6.956666666666666
1919,fantasy,7.4,1,6.720000000000001
1919,history,6.533333333333334,3,7.111111111111112
1919,horror,7.7,1,6.9125000000000005
1919,romance,6.7,5,6.710000000000001
1919,scifi,7.4,1,6.75
1919,war,6.6,2,6.76
1920,action,6.7,1,6.625
1920,adventure,6.9,2,6.87
1920,crime,7.4,1,7.056666666666667
1920,fantasy,7.2,1,6.76
1920,horror,7.083333333333333,6,6.946666666666667
1920,mystery,8.0,1,7.3999999999999995
1920,romance,6.74,5,6.728
1920,scifi,6.9,1,6.8
1920,thriller,7.7,2,7.5
1920,war,6.7,1,6.68
1921,action,6.9,1,6.68
1921,adventure,6.550000000000001,2,6.83
1921,crime,6.449999999999999,2,7.0200000000000005
1921,family,7.6000000000000005,2,7.15
1921,fantasy,7.8,2,7.040000000000001
1921,history,7.3,1,7.158333333333333
1921,horror,7.8,2,7.1066666666666665
1921,mystery,6.449999999999999,2,7.1625
1921,romance,6.828571428571428,7,6.753714285714286
1921,thriller,7.199999999999999,2,7.3999999999999995
1921,war,7.2,1,6.88
1922,adventure,7.1,1,6.790000000000001
1922,biography,6.6,1,6.699999999999999
1922,crime,7.8,1,7.17
1922,family,7.05,2,7.116666666666667
1922,fantasy,7.9,1,7.4
1922,history,6.6,1,7.046666666666667
1922,horror,7.25,2,7.276666666666666
1922,mystery,7.8,1,7.289999999999999
1922,romance,6.766666666666667,6,6.767047619047619
1922,sports,6.4,1,6.4
1922,thriller,7.4,2,7.4
1923,action,8.1,1,7.0200000000000005
1923,adventure,7.3,1,6.92
1923,biography,6.8,1,6.733333333333333
1923,family,7.3,1,7.1625
1923,fantasy,6.75,2,7.410000000000001
1923,history,6.8,1,6.986666666666666
1923,horror,6.95,2,7.3566666666666665
1923,mystery,6.7,1,7.25
1923,romance,7.05,8,6.817047619047619
1923,thriller,7.949999999999999,2,7.51
1924,action,7.8999999999999995,2,7.140000000000001
1924,adventure,7.44,5,7.058
1924,crime,7.0,1,7.13
1924,family,7.4,2,7.209999999999999
1924,fantasy,7.185714285714285,7,7.3671428571428565
1924,history,7.2,1,6.886666666666666
1924,horror,6.8,2,7.176666666666667
1924,mystery,7.0,1,7.19
1924,romance,7.32,10,6.941047619047619
1924,scifi,6.7,2,6.775
1924,thriller,7.633333333333333,3,7.576666666666666
1925,action,6.6,1,7.239999999999999
1925,adventure,6.88,5,7.053999999999999
1925,crime,7.300000000000001,2,7.19
1925,family,6.2,2,7.110000000000001
1925,fantasy,5.95,2,7.117142857142857
1925,history,7.25,2,7.029999999999999
1925,horror,6.85,2,7.13
1925,mystery,6.2,1,6.83
1925,romance,7.236363636363635,11,7.040320346320345
1925,scifi,6.766666666666667,3,6.773333333333333
1925,sports,7.5,1,6.95
1925,thriller,7.45,2,7.526666666666666
1925,war,7.9,2,7.0
1926,action,7.3,5,7.359999999999999
1926,adventure,7.375,4,7.218999999999999
1926,animation,7.8,1,7.8
1926,family,7.8,1,7.15
1926,fantasy,7.949999999999999,2,7.147142857142856
1926,horror,7.75,2,7.12
1926,mystery,7.6,1,7.06
1926,romance,7.1,10,7.0946060606060595
1926,sports,7.0,1,6.966666666666666
1926,thriller,7.4,1,7.566666666666667
